TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,tx_hour,tx_day,tx_day_elapsed,is_night,is_weekend,card_tx_count,card_mean_amt,amt_deviation,amt_ratio,P_emaildomain,R_emaildomain,dist1,C1,C2,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,D1,D2,D3,D4,D10,D15,M1,M2,M3,M4,M5,M6,id_01,id_02,id_03,id_05,id_06,id_09,id_10,id_11,id_13,id_17,id_19,id_20,DeviceType,isFraud
250.0,2,15066,170.0,150.0,2,102.0,1,337.0,87.0,14,0,161,0,0,7945,209.86134461925738,0.19035568350955526,1.1856132305872065,28289,3701,8.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,580.0,580.0,8.0,26.0,15.0,52.0,1,1,1,0,0,0,-5.0,135303.0,0.0,0.0,0.0,0.0,0.0,100.0,64.0,166.0,621.0,500.0,0,0
42.95,4,17400,174.0,150.0,3,226.0,2,123.0,87.0,13,4,109,0,0,1461,114.58090143737165,-0.6197468660182182,0.37160118554078564,36998,510396,59.0,119.0,107.0,0.0,134.0,88.0,0.0,0.0,77.0,0.0,80.0,0.0,576.0,95.0,0.0,97.0,8.0,0.0,16.0,0.0,1,0,0,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
107.95,4,9500,321.0,150.0,3,226.0,2,433.0,87.0,18,2,114,0,0,14162,115.69811926281598,-0.06639455127264242,0.9250363303361014,322811,510396,7.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,2.0,93.0,0.0,0.0,93.0,93.0,93.0,1,0,0,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
171.0,4,8320,476.0,150.0,3,166.0,2,220.0,87.0,20,0,63,0,0,2632,101.76766717325228,0.6736781590072629,1.6639474720362906,322811,510396,8.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,133.0,133.0,67.0,133.0,108.0,133.0,1,1,1,1,1,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
26.95,4,9500,321.0,150.0,3,226.0,2,204.0,87.0,15,4,88,0,0,14162,115.69811926281598,-0.7604931409643906,0.23093774064435324,5096,510396,209.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,125.0,125.0,7.0,126.0,104.0,126.0,1,1,1,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
153.95,4,12932,361.0,150.0,3,226.0,2,204.0,87.0,17,3,136,0,0,1998,122.76235535535535,0.25199621124772903,1.2439162098844008,322811,510396,8.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,48.0,48.0,13.0,46.0,48.0,46.0,1,1,1,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
39.0,4,12932,361.0,150.0,3,226.0,2,325.0,87.0,16,6,118,0,1,1998,122.76235535535535,-0.6767999454668656,0.31512005316980596,322811,510396,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,10.0,10.0,10.0,10.0,11.0,11.0,1,1,1,0,1,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
107.95,4,15185,332.0,150.0,3,226.0,2,264.0,87.0,1,3,157,1,0,589,102.94412393887946,0.04815929820202312,1.0385387447536338,45250,510396,7.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,12.0,3.0,0.0,97.0,8.0,521.0,47.0,521.0,1,1,1,0,0,1,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
103.95,4,12172,555.0,150.0,3,226.0,2,315.0,87.0,0,5,61,1,1,23,92.7413043478261,0.11957051088796627,1.1089028547575426,322811,510396,7.0,21.0,17.0,0.0,30.0,7.0,0.0,0.0,9.0,0.0,9.0,0.0,114.0,18.0,162.0,162.0,1.0,543.0,377.0,543.0,1,1,1,0,0,1,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
151.0,4,1984,555.0,150.0,2,226.0,1,325.0,87.0,19,0,28,0,0,7,406.7142857142857,-0.6271899088997898,0.3703573931324457,322811,510396,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,185.0,185.0,16.0,26.0,164.0,498.0,1,1,1,0,0,1,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
